,Anchor,Concept1,Concept2,Category,prompt,gpt_response,gpt_choice
1416,Nail,Anvil,Saw,tool,"Answer using only only word - ""Anvil"" or ""Saw"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",Anvil,Anvil
1417,Vacuum,Boa python,Gecko,tool,"Answer using only only word - ""Boa python"" or ""Gecko"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Boa python,Boa python
1418,Anvil,Spanner,Toad,tool,"Answer using only only word - ""Spanner"" or ""Toad"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",Spanner,Spanner
1419,Cobra,Shovel,Vacuum,reptile,"Answer using only only word - ""Shovel"" or ""Vacuum"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Shovel,Shovel
1420,Nail,Alligator,Lizard,tool,"Answer using only only word - ""Alligator"" or ""Lizard"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Alligator""",Alligator
1421,Grinding disk,Gecko,Tortoise,tool,"Answer using only only word - ""Gecko"" or ""Tortoise"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Gecko""",Gecko
1422,Gecko,Caiman,Turtle,reptile,"Answer using only only word - ""Caiman"" or ""Turtle"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","Caiman""",Caiman
1423,Nail,Grinding disk,Lawn Mower,tool,"Answer using only only word - ""Grinding disk"" or ""Lawn Mower"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
1424,Snake,Lawn Mower,Turtle,reptile,"Answer using only only word - ""Lawn Mower"" or ""Turtle"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","lawn mower""",fill manually
1425,Saw,Lawn Mower,Lizard,tool,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Saw""",Fill manually
1426,Nail,Caiman,Knife,tool,"Answer using only only word - ""Caiman"" or ""Knife"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
1427,Alligator,Lizard,Toad,reptile,"Answer using only only word - ""Lizard"" or ""Toad"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Toad""",Toad
1428,Snake,Crocodile,Hammer,reptile,"Answer using only only word - ""Crocodile"" or ""Hammer"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Snake""",Fill manually
1429,Cobra,Lawn Mower,Toad,reptile,"Answer using only only word - ""Lawn Mower"" or ""Toad"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Toad,Toad
1430,Chameleon,Dinosaur,Saw,reptile,"Answer using only only word - ""Dinosaur"" or ""Saw"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Saw""",Saw
1431,Cobra,Caiman,Screwdriver,reptile,"Answer using only only word - ""Caiman"" or ""Screwdriver"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Screwdriver,Screwdriver
1432,Axe,Paint brush,Snake,tool,"Answer using only only word - ""Paint brush"" or ""Snake"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Paint brush""",Paint brush
1433,Anvil,Caiman,Vacuum,tool,"Answer using only only word - ""Caiman"" or ""Vacuum"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Caiman""",Caiman
1434,Vacuum,Paint brush,Spanner,tool,"Answer using only only word - ""Paint brush"" or ""Spanner"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Paint brush""",Paint brush
1435,Vacuum,Lizard,Shovel,tool,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Shovel""",Shovel
1436,Snake,Crocodile,Paint brush,reptile,"Answer using only only word - ""Crocodile"" or ""Paint brush"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",paint brush,fill manually
1437,Dinosaur,Snake,Toad,reptile,"Answer using only only word - ""Snake"" or ""Toad"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",D is a frog,fill manually
1438,Grinding disk,Screwdriver,Spanner,tool,"Answer using only only word - ""Screwdriver"" or ""Spanner"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Spanner""",Spanner
1439,Dinosaur,Anvil,Knife,reptile,"Answer using only only word - ""Anvil"" or ""Knife"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Anvil""",Anvil
1440,Saw,Anvil,Spanner,tool,"Answer using only only word - ""Anvil"" or ""Spanner"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Anvil,Anvil
1441,Snake,Anvil,Turtle,reptile,"Answer using only only word - ""Anvil"" or ""Turtle"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Anvil,Anvil
1442,Toad,Oil can,Snake,reptile,"Answer using only only word - ""Oil can"" or ""Snake"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Snake""",Snake
1443,Toad,Hammer,Screwdriver,reptile,"Answer using only only word - ""Hammer"" or ""Screwdriver"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Hammer""",Hammer
1444,Turtle,Lawn Mower,Nail,reptile,"Answer using only only word - ""Lawn Mower"" or ""Nail"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Nail""",Nail
1445,Vacuum,Dinosaur,Knife,tool,"Answer using only only word - ""Dinosaur"" or ""Knife"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Knife,Knife
1446,Shovel,Boa python,Chameleon,tool,"Answer using only only word - ""Boa python"" or ""Chameleon"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",snake,fill manually
1447,Cobra,Chameleon,Hammer,reptile,"Answer using only only word - ""Chameleon"" or ""Hammer"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Hammer,Hammer
1448,Lawn Mower,Saw,Toad,tool,"Answer using only only word - ""Saw"" or ""Toad"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Saw""",Saw
1449,Dinosaur,Anvil,Screwdriver,reptile,"Answer using only only word - ""Anvil"" or ""Screwdriver"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Anvil""",Anvil
1450,Paint brush,Dinosaur,Toad,tool,"Answer using only only word - ""Dinosaur"" or ""Toad"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Toad""",Toad
1451,Vacuum,Anvil,Gecko,tool,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Anvil,Anvil
1452,Shovel,Alligator,Salamander,tool,"Answer using only only word - ""Alligator"" or ""Salamander"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Alligator""",Alligator
1453,Lawn Mower,Salamander,Shovel,tool,"Answer using only only word - ""Salamander"" or ""Shovel"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Salamander""",Salamander
1454,Vacuum,Paint brush,Toad,tool,"Answer using only only word - ""Paint brush"" or ""Toad"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Toad""",Toad
1455,Knife,Chameleon,Vacuum,tool,"Answer using only only word - ""Chameleon"" or ""Vacuum"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Chameleon""",Chameleon
1456,Lizard,Hammer,Turtle,reptile,"Answer using only only word - ""Hammer"" or ""Turtle"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Hammer""",Hammer
1457,Hammer,Anvil,Boa python,tool,"Answer using only only word - ""Anvil"" or ""Boa python"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",anvil,fill manually
1458,Screwdriver,Gecko,Snake,tool,"Answer using only only word - ""Gecko"" or ""Snake"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Snake""",Snake
1459,Crocodile,Axe,Chisel,reptile,"Answer using only only word - ""Axe"" or ""Chisel"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","shaped""",fill manually
1460,Grinding disk,Lizard,Shovel,tool,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Shovel""",Shovel
1461,Saw,Grinding disk,Shovel,tool,"Answer using only only word - ""Grinding disk"" or ""Shovel"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Grinding disk""",Grinding disk
1462,Lawn Mower,Oil can,Tortoise,tool,"Answer using only only word - ""Oil can"" or ""Tortoise"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Tortoise""",Tortoise
1463,Anvil,Grinding disk,Turtle,tool,"Answer using only only word - ""Grinding disk"" or ""Turtle"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Anvil""",Fill manually
1464,Alligator,Saw,Screwdriver,reptile,"Answer using only only word - ""Saw"" or ""Screwdriver"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alligator""",Fill manually
1465,Paint brush,Crocodile,Shovel,tool,"Answer using only only word - ""Crocodile"" or ""Shovel"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","a shovel""",fill manually
1466,Oil can,Knife,Paint brush,tool,"Answer using only only word - ""Knife"" or ""Paint brush"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","O""",fill manually
1467,Chameleon,Oil can,Paint brush,reptile,"Answer using only only word - ""Oil can"" or ""Paint brush"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Oil can""",Oil can
1468,Anvil,Crocodile,Nail,tool,"Answer using only only word - ""Crocodile"" or ""Nail"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Anvil""",Fill manually
1469,Oil can,Anvil,Lizard,tool,"Answer using only only word - ""Anvil"" or ""Lizard"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Anvil,Anvil
1470,Crocodile,Lawn Mower,Screwdriver,reptile,"Answer using only only word - ""Lawn Mower"" or ""Screwdriver"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",lawn mower,fill manually
1471,Anvil,Chameleon,Toad,tool,"Answer using only only word - ""Chameleon"" or ""Toad"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Toad""",Toad
1472,Tortoise,Gecko,Lizard,reptile,"Answer using only only word - ""Gecko"" or ""Lizard"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","""",fill manually
1473,Shovel,Paint brush,Tortoise,tool,"Answer using only only word - ""Paint brush"" or ""Tortoise"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","paint brush""",fill manually
1474,Toad,Snake,Vacuum,reptile,"Answer using only only word - ""Snake"" or ""Vacuum"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Snake""",Snake
1475,Blindworm,Anvil,Chisel,reptile,"Answer using only only word - ""Anvil"" or ""Chisel"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Anvil""",Anvil
1476,Toad,Gecko,Lizard,reptile,"Answer using only only word - ""Gecko"" or ""Lizard"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Gecko""",Gecko
1477,Toad,Alligator,Screwdriver,reptile,"Answer using only only word - ""Alligator"" or ""Screwdriver"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Screwdriver,Screwdriver
1478,Boa python,Blindworm,Snake,reptile,"Answer using only only word - ""Blindworm"" or ""Snake"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",snake,fill manually
1479,Saw,Oil can,Snake,tool,"Answer using only only word - ""Oil can"" or ""Snake"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Oil can""",Oil can
1480,Toad,Anvil,Dinosaur,reptile,"Answer using only only word - ""Anvil"" or ""Dinosaur"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Anvil,Anvil
1481,Chameleon,Chisel,Spanner,reptile,"Answer using only only word - ""Chisel"" or ""Spanner"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Spanner""",Spanner
1482,Saw,Grinding disk,Snake,tool,"Answer using only only word - ""Grinding disk"" or ""Snake"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Snake,Snake
1483,Cobra,Gecko,Spanner,reptile,"Answer using only only word - ""Gecko"" or ""Spanner"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Gecko,Gecko
1484,Snake,Crocodile,Toad,reptile,"Answer using only only word - ""Crocodile"" or ""Toad"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","""",fill manually
1485,Knife,Toad,Turtle,tool,"Answer using only only word - ""Toad"" or ""Turtle"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Toad""",Toad
1486,Snake,Gecko,Nail,reptile,"Answer using only only word - ""Gecko"" or ""Nail"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Nail,Nail
1487,Chameleon,Crocodile,Dinosaur,reptile,"Answer using only only word - ""Crocodile"" or ""Dinosaur"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",a crocodile,fill manually
1488,Anvil,Screwdriver,Vacuum,tool,"Answer using only only word - ""Screwdriver"" or ""Vacuum"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Screwdriver""",Screwdriver
1489,Salamander,Nail,Screwdriver,reptile,"Answer using only only word - ""Nail"" or ""Screwdriver"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Screwdriver""",Screwdriver
1490,Oil can,Salamander,Tortoise,tool,"Answer using only only word - ""Salamander"" or ""Tortoise"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","salamander""",fill manually
1491,Crocodile,Lawn Mower,Spanner,reptile,"Answer using only only word - ""Lawn Mower"" or ""Spanner"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","C""",fill manually
1492,Caiman,Hammer,Toad,reptile,"Answer using only only word - ""Hammer"" or ""Toad"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Toad""",Toad
1493,Oil can,Lawn Mower,Paint brush,tool,"Answer using only only word - ""Lawn Mower"" or ""Paint brush"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","lawn mower""",fill manually
1494,Spanner,Paint brush,Toad,tool,"Answer using only only word - ""Paint brush"" or ""Toad"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Paint brush,Paint brush
1495,Axe,Salamander,Spanner,tool,"Answer using only only word - ""Salamander"" or ""Spanner"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Spanner,Spanner
1496,Toad,Anvil,Salamander,reptile,"Answer using only only word - ""Anvil"" or ""Salamander"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Anvil""",Anvil
1497,Crocodile,Oil can,Snake,reptile,"Answer using only only word - ""Oil can"" or ""Snake"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Oil can""",Oil can
1498,Paint brush,Tortoise,Turtle,tool,"Answer using only only word - ""Tortoise"" or ""Turtle"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",turtle,fill manually
1499,Boa python,Alligator,Shovel,reptile,"Answer using only only word - ""Alligator"" or ""Shovel"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",alligator,fill manually
1500,Axe,Chameleon,Grinding disk,tool,"Answer using only only word - ""Chameleon"" or ""Grinding disk"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Grinding disk,Grinding disk
1501,Chameleon,Spanner,Toad,reptile,"Answer using only only word - ""Spanner"" or ""Toad"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Toad""",Toad
1502,Vacuum,Crocodile,Salamander,tool,"Answer using only only word - ""Crocodile"" or ""Salamander"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Crocodile""",Crocodile
1503,Chameleon,Salamander,Vacuum,reptile,"Answer using only only word - ""Salamander"" or ""Vacuum"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",Vacuum,Vacuum
1504,Vacuum,Saw,Screwdriver,tool,"Answer using only only word - ""Saw"" or ""Screwdriver"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Saw""",Saw
1505,Toad,Caiman,Hammer,reptile,"Answer using only only word - ""Caiman"" or ""Hammer"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Caiman""",Caiman
1506,Crocodile,Cobra,Paint brush,reptile,"Answer using only only word - ""Cobra"" or ""Paint brush"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Cobra""",Cobra
1507,Blindworm,Anvil,Spanner,reptile,"Answer using only only word - ""Anvil"" or ""Spanner"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Anvil,Anvil
1508,Oil can,Hammer,Lawn Mower,tool,"Answer using only only word - ""Hammer"" or ""Lawn Mower"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Hammer""",Hammer
1509,Anvil,Gecko,Spanner,tool,"Answer using only only word - ""Gecko"" or ""Spanner"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?",Spanner,Spanner
1510,Boa python,Knife,Snake,reptile,"Answer using only only word - ""Knife"" or ""Snake"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",the way they are used,fill manually
1511,Blindworm,Lizard,Spanner,reptile,"Answer using only only word - ""Lizard"" or ""Spanner"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",lizard,fill manually
1512,Axe,Snake,Tortoise,tool,"Answer using only only word - ""Snake"" or ""Tortoise"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","turtle""",fill manually
1513,Axe,Cobra,Lizard,tool,"Answer using only only word - ""Cobra"" or ""Lizard"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Cobra,Cobra
1514,Boa python,Anvil,Blindworm,reptile,"Answer using only only word - ""Anvil"" or ""Blindworm"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",anvil,fill manually
1515,Paint brush,Caiman,Gecko,tool,"Answer using only only word - ""Caiman"" or ""Gecko"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Caiman""",Caiman
1516,Nail,Lawn Mower,Vacuum,tool,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
1517,Toad,Boa python,Lawn Mower,reptile,"Answer using only only word - ""Boa python"" or ""Lawn Mower"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",lawn mower,fill manually
1518,Tortoise,Blindworm,Screwdriver,reptile,"Answer using only only word - ""Blindworm"" or ""Screwdriver"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Screwdriver""",Screwdriver
1519,Snake,Axe,Oil can,reptile,"Answer using only only word - ""Axe"" or ""Oil can"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Axe,Axe
1520,Shovel,Crocodile,Nail,tool,"Answer using only only word - ""Crocodile"" or ""Nail"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Nail""",Nail
1521,Cobra,Chisel,Turtle,reptile,"Answer using only only word - ""Chisel"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",a snake,fill manually
1522,Boa python,Caiman,Turtle,reptile,"Answer using only only word - ""Caiman"" or ""Turtle"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",turtles and caimans,fill manually
1523,Cobra,Anvil,Hammer,reptile,"Answer using only only word - ""Anvil"" or ""Hammer"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Anvil,Anvil
1524,Boa python,Cobra,Vacuum,reptile,"Answer using only only word - ""Cobra"" or ""Vacuum"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","Cobra""",Cobra
1525,Spanner,Nail,Salamander,tool,"Answer using only only word - ""Nail"" or ""Salamander"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Nail,Nail
1526,Shovel,Blindworm,Tortoise,tool,"Answer using only only word - ""Blindworm"" or ""Tortoise"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Blindworm""",Blindworm
1527,Lawn Mower,Alligator,Shovel,tool,"Answer using only only word - ""Alligator"" or ""Shovel"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Shovel""",Shovel
1528,Chameleon,Grinding disk,Shovel,reptile,"Answer using only only word - ""Grinding disk"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Chameleon""",Fill manually
1529,Saw,Chameleon,Lawn Mower,tool,"Answer using only only word - ""Chameleon"" or ""Lawn Mower"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Saw""",Fill manually
1530,Gecko,Anvil,Grinding disk,reptile,"Answer using only only word - ""Anvil"" or ""Grinding disk"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","Anvil""",Anvil
1531,Grinding disk,Lizard,Nail,tool,"Answer using only only word - ""Lizard"" or ""Nail"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Nail""",Nail
1532,Chisel,Grinding disk,Lawn Mower,tool,"Answer using only only word - ""Grinding disk"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Grinding disk""",Grinding disk
1533,Salamander,Blindworm,Grinding disk,reptile,"Answer using only only word - ""Blindworm"" or ""Grinding disk"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Salamander""",Fill manually
1534,Vacuum,Crocodile,Toad,tool,"Answer using only only word - ""Crocodile"" or ""Toad"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Toad""",Toad
1535,Cobra,Chameleon,Turtle,reptile,"Answer using only only word - ""Chameleon"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Chameleon,Chameleon
1536,Nail,Dinosaur,Grinding disk,tool,"Answer using only only word - ""Dinosaur"" or ""Grinding disk"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
1537,Cobra,Anvil,Chameleon,reptile,"Answer using only only word - ""Anvil"" or ""Chameleon"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?",Anvil,Anvil
1538,Vacuum,Lizard,Saw,tool,"Answer using only only word - ""Lizard"" or ""Saw"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Saw""",Saw
1539,Nail,Turtle,Vacuum,tool,"Answer using only only word - ""Turtle"" or ""Vacuum"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Turtle""",Turtle
1540,Oil can,Nail,Toad,tool,"Answer using only only word - ""Nail"" or ""Toad"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Toad,Toad
1541,Shovel,Cobra,Saw,tool,"Answer using only only word - ""Cobra"" or ""Saw"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Cobra,Cobra
1542,Screwdriver,Alligator,Saw,tool,"Answer using only only word - ""Alligator"" or ""Saw"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Saw""",Saw
1543,Grinding disk,Anvil,Gecko,tool,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Anvil""",Anvil
1544,Oil can,Alligator,Chisel,tool,"Answer using only only word - ""Alligator"" or ""Chisel"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Alligator,Alligator
1545,Toad,Salamander,Turtle,reptile,"Answer using only only word - ""Salamander"" or ""Turtle"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Toad""",Fill manually
1546,Hammer,Salamander,Snake,tool,"Answer using only only word - ""Salamander"" or ""Snake"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Ham""",fill manually
1547,Alligator,Axe,Screwdriver,reptile,"Answer using only only word - ""Axe"" or ""Screwdriver"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alligator""",Fill manually
1548,Dinosaur,Crocodile,Salamander,reptile,"Answer using only only word - ""Crocodile"" or ""Salamander"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",Crocodile,Crocodile
1549,Saw,Blindworm,Nail,tool,"Answer using only only word - ""Blindworm"" or ""Nail"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Nail,Nail
1550,Dinosaur,Boa python,Saw,reptile,"Answer using only only word - ""Boa python"" or ""Saw"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?",the way they move,fill manually
1551,Boa python,Blindworm,Nail,reptile,"Answer using only only word - ""Blindworm"" or ""Nail"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",blindworm,fill manually
1552,Turtle,Chameleon,Vacuum,reptile,"Answer using only only word - ""Chameleon"" or ""Vacuum"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Chameleon""",Chameleon
1553,Lizard,Chisel,Lawn Mower,reptile,"Answer using only only word - ""Chisel"" or ""Lawn Mower"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","lawn mower""",fill manually
1554,Lizard,Crocodile,Vacuum,reptile,"Answer using only only word - ""Crocodile"" or ""Vacuum"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Crocodile""",Crocodile
1555,Grinding disk,Axe,Chisel,tool,"Answer using only only word - ""Axe"" or ""Chisel"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Axe""",Axe
1556,Nail,Chameleon,Paint brush,tool,"Answer using only only word - ""Chameleon"" or ""Paint brush"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
1557,Blindworm,Anvil,Shovel,reptile,"Answer using only only word - ""Anvil"" or ""Shovel"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Anvil,Anvil
1558,Grinding disk,Alligator,Axe,tool,"Answer using only only word - ""Alligator"" or ""Axe"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Axe""",Axe
1559,Tortoise,Oil can,Turtle,reptile,"Answer using only only word - ""Oil can"" or ""Turtle"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Turtle""",Turtle
1560,Hammer,Paint brush,Tortoise,tool,"Answer using only only word - ""Paint brush"" or ""Tortoise"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","paint brush""",fill manually
1561,Turtle,Oil can,Toad,reptile,"Answer using only only word - ""Oil can"" or ""Toad"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","Toad""",Toad
1562,Boa python,Dinosaur,Paint brush,reptile,"Answer using only only word - ""Dinosaur"" or ""Paint brush"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",dinosaur,fill manually
1563,Axe,Hammer,Knife,tool,"Answer using only only word - ""Hammer"" or ""Knife"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Hammer""",Hammer
1564,Lawn Mower,Axe,Nail,tool,"Answer using only only word - ""Axe"" or ""Nail"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Axe""",Axe
1565,Spanner,Crocodile,Grinding disk,tool,"Answer using only only word - ""Crocodile"" or ""Grinding disk"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?",Crocodile,Crocodile
1566,Dinosaur,Nail,Turtle,reptile,"Answer using only only word - ""Nail"" or ""Turtle"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Nail""",Nail
1567,Chisel,Cobra,Screwdriver,tool,"Answer using only only word - ""Cobra"" or ""Screwdriver"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?",Screwdriver,Screwdriver
1568,Crocodile,Knife,Nail,reptile,"Answer using only only word - ""Knife"" or ""Nail"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Nail""",Nail
1569,Anvil,Lizard,Paint brush,tool,"Answer using only only word - ""Lizard"" or ""Paint brush"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","paint brush""",fill manually
1570,Hammer,Nail,Toad,tool,"Answer using only only word - ""Nail"" or ""Toad"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?",Nail,Nail
